source,target,label
tension,fighting,cause-effect
rule,behavior,others
aircraft,approach,others
journalist,discussion,others
letter,copy,others
migration,deprivation,cause-effect
law,size,others
Concern,data protection,others
noise,resistor,cause-effect
farm,acre,others
entrapment,suffocation,cause-effect
chain,bag,others
bomb,suitcase,others
item,customer,others
death,cancellation,cause-effect
color,dispersion,cause-effect
pain,strain,cause-effect
location,circle,others
ban,debate,cause-effect
Recession,excess demand,cause-effect
voltage,reaction,others
comment,developer,others
experience,blend,cause-effect
concern,case,others
disaster,hurricane,cause-effect
population,peak,others
mechanism,bridge,others
house,government,others
Anti-crime rap,mobile,others
neuron,jolt,others
sculpture,craftsman,others
Stres,panic attacks,others
cadet,training,others
messenger bag,trash bag,others
baby,home,others
damage,bullet,cause-effect
Reference,number,others
anger,abuse,cause-effect
test,exam,others
energy,poster,cause-effect
text,material,others
fear,death,others
announcement,stir,cause-effect
Asthma,narrowing,cause-effect
impact,slit,cause-effect
recording,public domain,others
rebound,net,others
cold,germ,others
decline,collapse,cause-effect
noise,quake,others
mother,sweater,others
astronomer,telescope,others
child,basket,others
rookery,seal,others
book,phase,others
talk,trick,others
bacterium,sicknes,cause-effect
scheme,acces,others
audience,reader,others
steam,combustion,cause-effect
lithic,mountain ranges,others
book,relationship,others
problem,policy,cause-effect
vacancy,retirement,others
riot,verdict,others
program,author,others
pillar,bridge,others
mosaicism,mutation,others
dirt,acne,cause-effect
evacuation,war,others
aunt,health,others
subject,implication,others
bleeding,injury,cause-effect
flood,sea,others
Rain,cancellation,cause-effect
flu,chill,others
girl,danger,others
collective,organization,others
explanation,appendix,others
spread,book,others
author,devil,others
Neuralgia,headache,cause-effect
devastation,tsunami,cause-effect
Animation,version,others
Depression,suicide,cause-effect
sord,mallard,others
battalion,cavalry,others
Dehydration,death,cause-effect
narrative,history,others
spike,glitch,cause-effect
evidence,study,others
error,tag,cause-effect
competition,station,others
post,installation,others
blaze,fault,others
image,program,others
Infectious diseases,parasite,cause-effect
Pressure,friction,cause-effect
fee,discussion,others
crash,attack,cause-effect
project,aspect,others
storyline,chapter,others
destruction,war,cause-effect
debate,ethical issues,others
expansion,movement,cause-effect
injury,firework,cause-effect
work,theme,others
tail,solar wind,cause-effect
profile,teacher,others
incident,poisoning,cause-effect
complication,death,cause-effect
folk,len,others
illnes,bacterium,cause-effect
magazine,life,others
figurine,cake,others
weight,collapse,cause-effect
influenza,viru,cause-effect
couple,water,others
fragment,gene,cause-effect
suffering,crisi,cause-effect
outbreak,vaccine,cause-effect
clash,death,cause-effect
designer,set,others
viru,pandemic,cause-effect
struggle,disturbance,cause-effect
controversy,assignment,cause-effect
sound,species,others
volume,inscription,others
cell,tissue,others
Cadre,group,others
Tonsilliti,micro-organism,cause-effect
clamour,rook,others
cigarette,alarm,cause-effect
raid,crisi,cause-effect
pandemic,infection,cause-effect
father,bar,others
citation,book,others
ulcer,infectious agent,cause-effect
acidity,carbon dioxide,cause-effect
accident,impact,cause-effect
rash,fungal imbalance,cause-effect
brewer,ale,others
thesi,clinical characteristics,others
recession,collapse,others
server,cabinet,others
corruption,utility,others
devastation,waste,cause-effect
car,engine,cause-effect
group,tunnel,cause-effect
turbine,electricity,others
wall,youth,others
joy,laughing,others
interaction,layer,cause-effect
burn,liquid,cause-effect
discourse,poet,others
response,ripple,cause-effect
crash,meteor,cause-effect
death,tsunami,cause-effect
model,event,others
pain,torment,cause-effect
poverty,migration,cause-effect
definition,standard,others
syrup,cask,others
storm,upwelling,cause-effect
officer,apparatus,others
parent,station,others
amount,charity,others
cluster,computer,others
dust,irritation,others
treatise,theorist,others
bacterium,pneumonia,cause-effect
porch,queen,others
storm,cold front,cause-effect
delay,government,cause-effect
illnes,chickenpox,others
declaration,climate change,others
accident,snarl,cause-effect
Swine flu,disease,cause-effect
influenza,viru,cause-effect
system,power,others
stres,battle,cause-effect
team,territory,others
interferon,fever,cause-effect
tableau,room,others
story,existence,others
measure,lecture,others
dirt,canister,others
expansion,development,others
spindle,pump,others
spill,tanker,cause-effect
Landslide,death,cause-effect
cutter,do-it-yourselfer,others
box,house,others
