source,target,label
tension,fighting,cause-effect
migration,deprivation,cause-effect
noise,resistor,cause-effect
entrapment,suffocation,cause-effect
death,cancellation,cause-effect
color,dispersion,cause-effect
pain,strain,cause-effect
ban,debate,cause-effect
Recession,excess demand,cause-effect
experience,blend,cause-effect
disaster,hurricane,cause-effect
damage,bullet,cause-effect
anger,abuse,cause-effect
energy,poster,cause-effect
announcement,stir,cause-effect
Asthma,narrowing,cause-effect
impact,slit,cause-effect
decline,collapse,cause-effect
bacterium,sicknes,cause-effect
steam,combustion,cause-effect
problem,policy,cause-effect
dirt,acne,cause-effect
bleeding,injury,cause-effect
Rain,cancellation,cause-effect
Neuralgia,headache,cause-effect
devastation,tsunami,cause-effect
Depression,suicide,cause-effect
Dehydration,death,cause-effect
spike,glitch,cause-effect
error,tag,cause-effect
Infectious diseases,parasite,cause-effect
Pressure,friction,cause-effect
crash,attack,cause-effect
destruction,war,cause-effect
expansion,movement,cause-effect
injury,firework,cause-effect
tail,solar wind,cause-effect
incident,poisoning,cause-effect
complication,death,cause-effect
illnes,bacterium,cause-effect
weight,collapse,cause-effect
influenza,viru,cause-effect
fragment,gene,cause-effect
suffering,crisi,cause-effect
outbreak,vaccine,cause-effect
clash,death,cause-effect
viru,pandemic,cause-effect
struggle,disturbance,cause-effect
controversy,assignment,cause-effect
Tonsilliti,micro-organism,cause-effect
cigarette,alarm,cause-effect
raid,crisi,cause-effect
pandemic,infection,cause-effect
ulcer,infectious agent,cause-effect
acidity,carbon dioxide,cause-effect
accident,impact,cause-effect
rash,fungal imbalance,cause-effect
devastation,waste,cause-effect
car,engine,cause-effect
group,tunnel,cause-effect
interaction,layer,cause-effect
burn,liquid,cause-effect
response,ripple,cause-effect
crash,meteor,cause-effect
death,tsunami,cause-effect
pain,torment,cause-effect
poverty,migration,cause-effect
storm,upwelling,cause-effect
bacterium,pneumonia,cause-effect
storm,cold front,cause-effect
delay,government,cause-effect
accident,snarl,cause-effect
Swine flu,disease,cause-effect
influenza,viru,cause-effect
stres,battle,cause-effect
interferon,fever,cause-effect
spill,tanker,cause-effect
Landslide,death,cause-effect
damage,industry,cause-effect
shortage,riot,cause-effect
abuse,swelling,cause-effect
Lesion,leg weakness,cause-effect
plasma,discharge,cause-effect
clot,seizure,cause-effect
murder,conviction,cause-effect
incoming water,stain,cause-effect
Stimulation,latency,cause-effect
distraction,incident,cause-effect
vapor,swelling,cause-effect
disorder,drinking,cause-effect
reproductive toxicity,nitrite,cause-effect
suffering,bomb,cause-effect
accident,power outage,cause-effect
Storm,loss,cause-effect
incident,injury,cause-effect
light,face,cause-effect
devastation,fire,cause-effect
fear,stab,cause-effect
Wind,weathering,cause-effect
Endometriosi,infertility,cause-effect
event,dissolution,cause-effect
flu,fever,cause-effect
sunlight,fatigue,cause-effect
Lesion,hemiparesi,cause-effect
deformation,filling,cause-effect
bombing,death,cause-effect
spill,hurricane,cause-effect
tsunami,displacement,cause-effect
disease,gene mutations,cause-effect
collision,crash,cause-effect
Tide,gravitational pull,cause-effect
Fainting,unconsciousnes,cause-effect
hunger,unrest,cause-effect
Alcohol,suicide,cause-effect
hair loss,stres,cause-effect
infection,disease,cause-effect
Power,reaction,cause-effect
wind,draft,cause-effect
fear,power,cause-effect
pollution,warming,cause-effect
Stroke,death,cause-effect
flood,rain,cause-effect
Hiccup,spasm,cause-effect
devastation,wave,cause-effect
chemical,gland,cause-effect
pollution,smog,cause-effect
dizzines,injury,cause-effect
airstrike,explosion,cause-effect
damage,hallucinogen,cause-effect
Roundworm,parasite,cause-effect
breakdown,war,cause-effect
infection,malodor,cause-effect
flooding,clogging,cause-effect
fat,disease,cause-effect
wind,fire,cause-effect
speech,combustion,cause-effect
humiliation,person,cause-effect
fume,irritation,cause-effect
contamination,residue,cause-effect
Unemployment,abuse,cause-effect
fatigue,pain,cause-effect
creature,scare,cause-effect
streak,particle,cause-effect
Tsunami,displacement,cause-effect
misinterpretation,word,cause-effect
devastation,earthquake,cause-effect
complication,irradiation,cause-effect
Rain,power outage,cause-effect
disturbance,erosion,cause-effect
tick,discomfort,cause-effect
virus,infection,cause-effect
fungi,disease,cause-effect
light,friend,cause-effect
acne,cosmetic,cause-effect
papillomaviru,wart,cause-effect
force,joystick,cause-effect
flu,stres,cause-effect
hole,missile,cause-effect
heat,metamorphism,cause-effect
wave,nausea,cause-effect
flooding,cyclone,cause-effect
electrical short,fire,cause-effect
damage,earthquake,cause-effect
vibration,movement,cause-effect
boredom,violence,cause-effect
beam,emission,cause-effect
dust,nosebleed,cause-effect
Cancer,illnes,cause-effect
dip,y-ray,cause-effect
infection,fungu,cause-effect
irritant,coughing,cause-effect
damage,viru,cause-effect
toxin,odor,cause-effect
strike,death,cause-effect
debt,stres,cause-effect
injury,person,cause-effect
crisi,cost,cause-effect
conflict,wastewater,cause-effect
microbe,sicknes,cause-effect
cleaner,burning sensation,cause-effect
crisi,blockade,cause-effect
Chocolate,acne,cause-effect
agreement,diversion,cause-effect
steroid,hypertension,cause-effect
crisi,jobless rate,cause-effect
drag,atmosphere,cause-effect
nuclear energy,pollution,cause-effect
